coach	trainer
founder	gründer
diplomacy	diplomatie
consolidated	festigen
real-time	echtzeit
activated	aktiviert
enjoyable	angenehmer
mild	leichten
disc	cd
cooperative	kooperation
query	anfrage
moon	fliegen
als	than
retention	beibehaltung
layers	schichten
gases	treibhausgasemissionen
pointing	hinzuweisen
hunting	jagd
eligible	berechtigten
subjected	unterzogen
foster	fördern
dairy	milch
tranquillity	ruhe
terror	terror
imperative	zwingend
alternatively	alternativ
dramatically	dramatisch
protective	schutzmaßnahmen
wished	gewünscht
co-operation	kooperation
detention	haft
fat	dicke
coloured	farbe
literally	wortes
advised	beraten
austerity	einsparungen
recreation	erholung
olaf	olaf
dictatorship	diktatur
accompanying	dazugehörigen
stimulus	impuls
louis	louis
shock	auslösen
venue	treffpunkt
upload	laden
moldova	moldau
random	zufällig
settle	klären
saudi	islamischen
enforce	durchzusetzen
comforts	komfort
tel	tel.
portable	mobilen
sap	sap
demonstrations	demonstrationen
licensed	zugelassen
inland	inland
fabulous	fantastischen
booth	stand
rigorous	strengen
dresden	dresden
depression	depression
conscience	gewissen
employ	beschäftigen
hide	verstecken
christ	christus
richard	richard
witnessed	erlebt
liberty	freiheit
experiment	versuch
attitudes	verhaltensweisen
template	vorlage
foodstuffs	lebensmitteln
certificates	zertifikat
bird	vögel
multinational	multinationalen
deemed	erachtet
justification	rechtfertigung
gathered	gesammelt
pushing	drängen
non-governmental	nichtregierungsorganisationen
delivering	erbringung
ranges	reicht
modular	aufbau
disastrous	verheerenden
healing	heilung
separation	trennung
civilians	zivilisten
galileo	galileo
safer	sicherer
auch	siehe
earthquake	erdbeben
clarification	klarstellung
39	39
talent	talent
thirty	dreißig
credits	kredite
brilliant	hervorragenden
riviera	riviera
k	k
unanimity	einstimmigkeit
exceptionally	außergewöhnlich
yacht	schiff
abolition	abschaffung
defeat	niederlage
punishment	strafe
coastline	küste
examining	prüft
invasion	invasion
firefox	firefox
divide	kluft
classification	eingestuft
problematic	problematisch
lending	kredite
feelings	gefühle
psychological	körperliche
sincerely	aufrichtig
vip	vegas
decrease	rückgang
toys	spielzeug
counts	zählt
rarely	selten
opponents	gegner
plot	grundstück
criminals	kriminelle
che	che
chf	chf
distinct	deutlichen
coins	münzen
nobel	träger
oecd	oecd
archives	archiv
passport	pass
theoretical	theoretisch
high-speed	speed
revolutionary	revolution
bulgarian	bulgarischen
preserving	bewahrung
formally	offiziell
supporters	anhänger
limitation	einschränkung
visibility	sichtbar
excuse	entschuldigung
germans	deutschen
democratisation	demokratisierung
hole	loch
mounted	montiert
subscription	abonnieren
decoration	interieur
flora	flora
permits	zulässt
tunnel	57
avoiding	vermeidung
dei	dei
incidents	vorfälle
thin	feinen
praise	lob
entrepreneurs	unternehmer
abandon	aufzugeben
ferry	boote
marble	interieur
fortress	festung
purchaser	käufer
nearest	nächste
prompt	veranlassen
unilateral	einseitige
chancellor	merkel
snacks	snacks
calculation	berechnung
chip	platzieren
galleries	galerien
in-depth	eingehende
pushed	gedrängt
protects	schützt
tab	register
sharp	deutlichen
exclude	ausschließen
serial	schnittstelle
ceremony	akt
confidential	vertraulich
carriers	fluggesellschaften
verify	überprüfen
secured	gesichert
breaking	brechen
pine	duft
menus	menüs
occasionally	gelegentlich
criterion	kriterium
s.	s.
adjacent	angrenzenden
speaks	spricht
fare	ticket
tension	spannungen
administrator	administration
mar	mar
explorer	explorer
critics	kritiker
await	abwarten
commander	picard
vineyards	weine
birthday	geburtstag
congratulating	gratulieren
waves	wellen
fits	passt
ties	verbindungen
meaningful	sinnvolle
compatibility	kompatibilität
emperor	kaiser
liquid	liquidität
helsinki	helsinki
amid	inmitten
optimised	optimiert
sv	sv
su	su
capitalism	kapitalismus
q	q
baggage	gepäck
shore	ufer
broadcasting	sender
sat	sat-tv
definitions	definitionen
sa	sa
completing	vollendung
privileges	rechten
packed	gefüllt
bathing	baden
shoes	schuhe
distributors	distributoren
deck	sonnenterrasse
gradual	schrittweise
in-house	intern
insight	einblick
wishing	beitreten
canary	kanarischen
interpreted	interpretiert
symbols	symbole
experiments	versuche
motions	entschließungsanträge
keyboard	tastatur
argued	argumentieren
installer	installation
avenue	avenue
haiti	haiti
tendency	tendenz
developer	entwickler
democracies	demokratien
dolomites	dolomiten
somewhere	irgendwo
lo	lo
solving	lösen
air-conditioned	klimaanlage
attraction	attraktiv
differently	unterschiedlich
listing	aufgelistet
orange	orange
suspension	aussetzung
alexander	alexander
alter	verändern
donors	geber
motivated	motiviert
matches	spiele
auto	auto
outlined	dargelegt
nokia	nokia
socially	sozial
perceived	wahrgenommen
thereof	kopien
legendary	legendären
emphasises	unterstreicht
washing	waschmaschine
hairdryer	haartrockner
lifelong	lernen
worlds	welten
execute	auszuführen
tram	haltestelle
reasonably	vernünftig
classified	eingestuft
47	47
rocks	felsen
marvellous	wunderbaren
latvia	lettland
transmitted	übermittelt
warcraft	warcraft
haet	het
exquisite	köstliche
constraints	beschränkungen
consolidate	festigen
reactions	reaktionen
activate	aktivieren
detect	erkennen
privatisation	privatisierung
edinburgh	edinburgh
councils	tagungen
laying	festlegung
globe	weltweit
strip	gaza
700	700
posting	posten
gates	tor
corporations	konzerne
clauses	ziffern
inspections	kontrollen
patch	patch
adequately	hinreichend
85	85
container	container
fundamentally	grundlegend
complimentary	kostenfreien
herself	selber
recognising	anzuerkennen
boutique	boutique
diesel	motoren
secretary-general	generalsekretär
hague	haag
dominated	dominiert
dioxide	co2-emissionen
au	au
inevitably	unweigerlich
perception	wahrnehmung
barrier	hindernis
frank	frank
ipod	ipod
maintains	unterhält
seventh	siebten
quark	quark
oasis	oase
imaging	kameras
backed	gestützt
volumes	volumen
teach	lehren
inevitable	unvermeidlich
resumed	erkläre
integrating	integrieren
retained	beibehalten
1980	1980
hectares	hektar
determining	bestimmung
refugee	flüchtlingen
renewal	erneuerung
modest	geringe
bears	trägt
musicians	musiker
aboard	bord
qualification	qualifikation
avec	avec
croatian	kroatischen
stimulate	anregung
reinforced	verstärkten
exotic	cocktails
bugs	fehlern
consultations	konsultationen
clinical	klinik
variables	variablen
municipality	gemeinde
preservation	bewahrung
echo	echo
sympathy	mitgefühl
featured	vorgestellt
congo	kongo
simplified	vereinfacht
1988	1988
colombia	kolumbien
wasn	dauerte
ironing	bügelservice
xp	xp
noticed	bemerkt
protectionism	protektionismus
sheep	wolf
è	è
sadly	bedauerlicherweise
paint	farbe
gourmet	kulinarischen
automobile	automobilindustrie
5th	5.
engagement	engagements
threatening	drohen
ruins	ruinen
attach	messen
cooling	temperaturen
joseph	joseph
observations	bemerkungen
on-site	hoteleigenen
ð	fur
cabin	befördert
starfleet	uss
shell	`
gear	gang
enhancing	verstärkung
jesus	jesus
montenegro	montenegro
plane	flugzeug
wisdom	weisheit
broadcast	sendung
appreciation	wertschätzung
overwhelming	mehrheit
holder	inhaber
haven	oase
rss	rss
linking	verknüpfen
chef	chef
furnishings	möbeln
optimise	optimieren
isolation	isolation
dans	dans
grey	zellen
textiles	textilien
limiting	begrenzung
titles	titel
marriage	ehe
damaging	schädlich
fruits	früchte
accessed	zugreifen
joy	freude
gps	gps
procedural	verfahrens
supplement	ergänzen
deciding	beschließen
gathering	erfassung
illness	krankheit
correction	korrektur
premier	premier
sad	bedauerlich
tonight	abend
