chromatically 	 chromatisch
prescript 	 vorschrift
glycoform 	 glycoform
vasomotal 	 vasomotal
flagging 	 kennzeichnend
hyalinisation 	 hyalinisierungW
aep-auditory 	 aep-auditiv
hagfishes 	 geissfische
insect-controlling 	 insektenbekämpfung
factor-forkhead 	 faktor-gabelkopf
dyer 	 fäber
asparginine 	 asparagin
mid-diastolic 	 mitteldiastolisch
pml-interacting 	 pml-interagierend
2-amino-8-hydroxy-4-phosphonomethyl-oct-3-enoic 	 2-amino-8-hydroxy-4-phosphonomethyl-oct-3-enoic
alternatively-spliced 	 alternativ-gespleisst
tert-butyldiphenylsilyl 	 tert-butyldiphenylsilyl
lipoprotein-related 	 lipoprotein-verwandte
half-section 	 halbschnitt
1,1,2,2,3,3,3-heptafluoropropyl 	 1,1,2,2,3,3,3-heptafluoropropyl
bourbon 	bourbon
nfatl1 	 nfatl1
planococcaceae 	 planococcaceae
foldover 	 drübergefaltet
-aminoanisole 	 -aminoanisol
heme-binding 	 häm-bindung
intagliated 	 eingeschnitten
unfavourably 	 ungünstig
930a 	 930a
chairperson 	 vorisitzender
dilutent 	 verdünnend
trihexphenidyl 	 trihexphenidyl
nco-reactive 	 nco-reaktiven
crows 	 krähen
4-hydroxybutyryl 	 4-hydroxybutyryl
delipidating 	 entfettend
positionning 	 positionierung
1-tetrazolyl 	 1-tetrazolyl
3-acetate 	 3-acetat
disulfide-isomerases 	 disulfid-isomerasen
p-tetramethylxylenediisocyanate 	 p-tetramethylxylenediisocyanat
hassk 	 hassk
edg4 	 edg4
intraven 	 intravenös
xenogenous 	 xenogen
-quinoline-2,8-dicarboxylate 	 -quinolin-2,8-dicarboxylat
piromyces 	 piromyces
4-dimethylthiochroman-6-yl 	 -dimethylthiochroman-6-yl
7-hydroxy-3-methyl-8-nitro-5- 	 7-hydroxy-3-methyl-8-nitro-5-
porb 	 porbieren
arlacel 	 arlacel
140,146 	 140,146
monoaminoethanol 	 monoaminoethanol
polydiaxanone 	 polydiaxanon
tritoqualine 	 tritoqualin
dysfibrinogenaemia 	 dysfibrinogenämie
alcohol-chloroform 	 alcohol-chloroform
pigment-dispersion 	 pigmentdispersion
hypofibrinogenaemia 	 hypofibrinogenämie
non-concerned 	 nicht-betroffen
-2-ethyl-1- 	 -2-ethyl-1-
reoriented 	 neuorientiert
lachesis 	 lachesis
neoantigen 	 neoantigen
k29 	 k29
butamidotriazone 	 butamidotriazon
esterify 	 verestern
67664 	 67664
40-55 	 40-55
melitriose 	 melitriose
core-covering 	 kernabdeckung
latching-in 	 einrastend
-2-hydroxy-3-methylbutyryl 	 -2-hydroxy-3-methylbutyryl
anti-thrombosis 	 antithrombise
overstitching 	 übersteppend
anti-enzyme 	 anti-enzym
glut2 	 glut2
2-methyl-2-nitrosopropane 	 2-methyl-2-nitrosopropan
foetopathy 	 foetopathie
1852 	 1852
extracapillary 	 extrakapillär
10-desacetyl 	 10-desacetyl
2,4-pyrimidinedione 	 2,4-pyrimidinedione
fluorobenzenes 	 fluorobenzene
2-hydroxymethyl-5-oxo-1,3-oxathiolane 	 2-hydroxymethyl-5-oxo-1,3-oxathiolan
w27 	 w27
soil-improving 	 bodenverbessernd
electromagnetic-wave 	 elektromagnetische welle
taxane-responsive 	 auf taxan ansprechende
pyaemia 	 pyämie
-piperidin-3-yloxymethyl 	 -piperidin-3-yloxymethyl
disagreeable 	 unangenehm
uv-device 	 uv-gerät
furled 	 eingerollt
fold-line 	 faltlinie
cytophagy 	 cytophagie
glyoxylates 	 glyoxylate
2-hydroxy-5-phenyl-phenyl 	 2-hydroxy-5-phenyl-phenyl
goldstein 	 goldstein
syndactyly-fingers 	 syndaktylie-finger
one-day 	 eintagig
scissoring 	 schreren
bell-crank 	 winkelhebel
