opaqueness	undurchsichtigkeit
passages	passagen
machetes	macheten
irritants	reizstoffe
minimalist	minimalistische
alibis	alibis
2200	2200
zero-tolerance	nulltoleranz
ghgs	ghgs
intangibles	immateriellen
vadim	vadim
midway	mittig
flashed	blitzt
5,500	5,500
egypt-israel	ägyptisch-israelischen
counterfeit	gefälschter
20-25	20-25
highly-leveraged	hoch-fremdkapitalisiert
delhi-mumbai	delhi-mumbai
fanned	aufgehetzt
transgression	verstoß
narrowness	beschränktheit
cosseted	umsorten
reconfigure	umkonfigurieren
anti-growth	deflationistischen
egotism	egoismus
siachen	siachen
cajoled	beschwatzt
coped	durchgemacht
tantawi	tantawi
19,000	19,000
metadata	metadaten
mia	mia
disreputable	unehrlich
preconceptions	vorurteile
rollercoaster	achterbahn
self-insure	selbstversichert
gas-guzzlers	benzinmotoren
striding	schreitend
caption	bildunterschrift
pants	hosen
theatrics	theatralik
spectator	zuschauer
1.65	1.65
hippocrates	hippokrates
grin	grinsen
pre-boom	vor-aufschwung
dither	schwanken
apogee	gipfel
eyesight	augenlich
mating	paaren
regenerative	regenerativen
slippage	verzögerungen
peña	peña
sprague-dawley	sprague-dawley
blockage	blockade
luxury-goods	luxusgüter
hyper-inflation	hyperinflation
kinder	kinder
deploys	einsatztruppen
whispering	flüstern
post-communism	postkommunismus
hedgehogs	igel
ultra-safe	sichere
consumer-facing	nutzerorientiert
parcels	päckchen
49th	neunundvierzigste
parenthood	elternschaft
shan	shan
christie	christie
bemusement	verwirrung
bleus	bleus
islamist-led	islamistischen
legally-binding	rechtsverbindliche
zacharias	zacharias
neutrons	neutronen
connivance	duldung
fused	aufgeschmolzen
bamboo	bambus
fertilised	befruchtet
blazed	glühend
naim	naim
house-price	grundstückspreis
shoehorned	hineinbugsiert
dollar-purchase	dollarkauf
scarcer	knapper
centrifuge	zentrifuge
chemically	chemisch
prozac	prozac
taj	taj
barber	friseur
rahim	rahim
wonderfully	wunderbar
kikwete	kikwete
presciently	vorherwissend
intently	aufmerksam
human-like	menschenähnliche
pitiful	erbärmlich
iodide	jodid
veracity	wahrheitsgetreue
data-driven	datengesteuert
165	165
resettled	umgesiedelt
mediates	vermittlen
medicalised	medikalisiert
sarcophagus	sarkophag
watering	gießen
monoamine	monoamin
international-relations	internationale-beziehungen
11.1	11.1
non-cash	bargeldlos
food-supply	nahrungsangebot
perfidy	niedertracht
scolded	gescholten
cerebellum	kleinhirn
insulted	beleidigt
cutoffs	einstellung
jump-starting	ankurbeln
ferdinando	ferdinando
high-employment	hochbeschäftigung
communicates	kommunizieren
combated	bekämpft
smartphone	smartphone
carnivorous	fleischfressend
guanxi	guanxi
jesse	jesse
potassium	kalium
salty	salzige
vacate	räumen
ltcm	ltcm
uncounted	ungezählt
counterattack	gegenangriff
self-described	selbstbeschrieben
biscuit	keks
inheriting	ererbt
articulation	artikulation
light-water	leichtwasser
iom	iom
moot	strittig
texture	textur
goats	ziegen
lengthen	dehnen
non-hispanic	nicht-lateinamerikanisch
belly-up	abkratzen
1990-1991	1990-1991
jong-suk	jong-suk
demon	dämon
sordid	schändliche
face-off	auseinandersetzung
1859	1859
gathers	versammelt
pregnancies	schwangerschaften
shying	zurückschrecken
canonical	kanonisch
mourned	trauert
palms	palmen
fonkoze	fonkoze
counterargument	gegenargument
cantons	kantonen
dopey	benebelt
rope	seil
beneficent	wohltätig
