en	de
secondly	zweitens
schengen	schengen
limited	begrenzte
child	kindes
desirable	wünschenswert
yellow	orange
four	vier
facilities	einrichtungen
protest	protest
woods	wäldern
sleep	schlafen
asian	asiatischen
controversial	umstritten
consists	besteht
oldest	ältesten
integrity	integrität
pack	pack
exhibitions	ausstellungen
relationships	beziehungen
whose	deren
votes	votes
granting	gewährung
auf	qui
electricity	strom
crises	krisen
poorest	ärmsten
pensions	renten
james	james
presents	präsentiert
neighbours	nachbarn
bike	bike
voted	gestimmt
whatsoever	keinerlei
under	under
teaching	lehre
sorry	leid
pride	stolz
worth	lohnt
carried	durchgeführt
pact	pakt
updated	aktualisiert
point	point
risk	risiko
dynamic	dynamischen
desired	gewünschte
regional	regionaler
railways	eisenbahn
handling	handhabung
every	jedes
updates	updates
suggests	deutet
reforms	reformen
affect	beeinträchtigen
simplify	vereinfachen
bringing	annäherung
encounter	begegnung
alpine	alpen
tickets	eintrittskarten
school	school
prize	preises
crops	kulturen
supports	unterstützt
companies	firmen
wednesday	mittwoch
viable	funktionierende
tools	werkzeuge
convenience	komfort
suite	suite
enhance	verbessern
nine	neun
settings	einstellungen
endorse	billigen
hostels	hostels
enjoy	geniessen
achievements	errungenschaften
charter	charta
bill	bill
force	force
leaders	führer
supervisory	aufsichtsrat
phones	handy
consistent	konsequente
guidelines	leitlinien
estimates	schätzungen
direct	direkte
budget	haushaltsplan
elegant	eleganten
likely	wahrscheinlich
street	street
available	verfügbaren
estimated	geschätzt
colourful	farben
machines	maschinen
blue	blue
established	etabliert
errors	fehlern
preferences	einstellungen
pace	tempo
cyprus	zypern
exactly	exakt
selected	ausgewählten
contributed	beigetragen
corporation	corporation
supplied	gelieferten
lights	beleuchtung
largescale	umfangreichen
drug	drogen
above	oberhalb
conduct	verhaltenskodex
supplier	lieferant
churches	kirchen
tips	tipps
increasing	zunehmende
ever	jemals
consisting	bestehend
seeks	strebt
told	erzählt
specialist	spezialist
simultaneously	gleichzeitig
incentives	anreize
never	niemals
here	hierher
hundreds	hunderte
met	trafen
protection	schutzes
china	china
governing	regieren
represented	repräsentiert
path	pfad
100	100
referring	beziehe
obtained	erlangt
substance	substanz
daughter	tochter
forum	forum
luggage	gepäckraum
items	gegenstände
employees	angestellten
changed	verändert
vicepresident	vizepräsidentin
completely	komplett
reports	berichte
museums	museen
credit	credit
launched	gestartet
permit	erlaubnis
military	militärische
adopting	erlass
suitable	geeigneten
changes	veränderungen
cancellation	stornierung
criticism	kritik
golden	golden
fantastic	fantastische
plays	spielt
besides	neben
campaign	kampagne
mobility	mobilität
explained	erläutert
continue	fortsetzen
natural	natürlichen
replace	ersetzen
brought	brachten
visible	sichtbar
busses	busse
moral	moralische
guests	gäste
actions	aktionen
total	komplettpreise
forums	foren
landscape	landschaft
charge	aufpreis
spoke	sprach
would	würde
army	armee
4star	sternen
hospital	krankenhaus
century	jahrhunderts
arms	waffen
call	call
therefore	daher
m2	m2
strike	ausgewogenes
survive	überleben
type	typ
until	bis
1000	1000
separated	getrennt
holy	heilige
relax	entspannen
successful	erfolgreiches
brings	bringt
slopes	pisten
wars	kriege
award	award
aware	bewusst
99	99
phone	mobiltelefon
berlin	berlin
warm	warmen
adult	erwachsenen
excellent	ausgezeichneten
90	90
hold	abzuhalten
95	95
97	96
circumstances	umstände
1991	1991
1990	1990
1993	1993
1992	1992
word	word
1994	1994
1997	1997
1996	1996
pursue	verfolgen
1998	1998
setup	einrichten
work	arbeit
roof	dach
movies	filme
era	ära
ms	ms
mr	herr
exceptions	ausnahmen
experts	experten
revenues	einnahmen
root	wurzeln
example	beispiel
transition	übergang
indicated	angegeben
give	geben
household	haushalte
india	indien
subsidiarity	subsidiarität
interinstitutional	interinstitutionellen
involve	einbeziehen
indicates	deutet
foods	lebensmittel
want	willst
also	ebenfalls
appointment	ernennung
david	david
attract	attraktiv
rescue	rettung
autonomy	autonomie
end	ende
recovery	erholung
turn	biegen
enquiry	untersuchung
mouse	maus
travel	travel
sitting	sitzung
damage	schäden
machine	maschine
very	sehr
grammatically	grammatisch
significance	bedeutung
boats	boote
gate	tor
ordinary	gewöhnlichen
beach	strand
gaming	casinos
poker	poker
rise	aufstieg
minority	minderheit
beauty	schönheit
after	nachdem
hong	hong
demanding	anspruchsvollen
customs	zollunion
barriers	hindernisse
wrong	falsch
considers	erachtet
lay	grundstein
involvement	einbeziehung
brands	marken
president	präsident
law	gesetz
parallel	parallel
types	typen
las	las
purchase	kauf
attempt	versuch
splendid	herrlichen
third	dritten
vegetables	gemüse
appreciate	schätzen
headquarters	hauptsitz
patent	patent
complexity	komplexität
maintain	aufrechtzuerhalten
green	green
ultimate	endgültige
enter	eingeben
worst	schlimmste
preventive	prävention
democratic	demokratische
order	reihenfolge
wind	wind
wine	wein
operations	operationen
blind	verschließen
executed	ausgeführt
interpretation	interpretation
feedback	feedback
office	office
welcomed	begrüßt
consent	einwilligung
over	laufe
fall	fallen
vary	variieren
satisfied	zufrieden
jacuzzi	whirlpool
london	london
innovative	innovative
saving	rettung
junior	junior
before	bevor
heritage	erbes
fit	fit
imf	iwf
personal	personenbezogener
highlights	highlights
fix	beheben
striking	bemerkenswert
expectations	erwartungen
comprises	umfasst
crew	crew
destroyed	zerstört
production	produktion
vast	riesige
400	400
hidden	versteckt
easier	leichter
overcome	überwinden
damages	schäden
eventually	letztlich
them	zugriffe
belarus	belarus
affected	betroffen
diseases	krankheiten
combination	kombination
prevented	verhindert
similar	ähnlichen
unemployed	arbeitslosen
safe	safe
break	brechen
band	band
therapy	therapie
effects	effekte
they	sie
schools	schulen
yourself	gönnen
tourism	fremdenverkehr
silver	silber
bank	bank
competitiveness	wettbewerbsfähigkeit
represents	repräsentiert
netherlands	niederlanden
meat	fleisch
bosnia	bosnien
circuit	strecke
notified	benachrichtigt
arrested	verhaftet
l	l
asia	asien
skills	fähigkeiten
filling	ausfüllen
component	komponente
victory	sieg
reasonable	vernünftigen
fitness	fitness
nonetheless	nichtsdestotrotz
americans	amerikanern
went	gingen
entitled	berechtigt
meal	mahlzeiten
lasting	dauerhaften
signing	unterzeichnung
schemes	systeme
financial	finanziellen
suspended	unterbrochen
fairly	fair
series	serie
train	zug
crimes	verbrechen
principles	prinzipien
solution	lösung
carry	durchzuführen
milan	mailand
taught	unterrichtet
trading	handelspartner
combining	kombinieren
substantially	beträchtlich
laboratory	labor
saturday	samstag
hostel	herberge
network	netzwerk
driving	motor
restricted	eingeschränkt
cameras	kameras
crucial	entscheidender
vessels	schiffe
